entry_date,exit_date,direction,entry_price_a,entry_price_b,exit_price_a,exit_price_b,position_size,pnl,return_pct,duration_days,exit_reason,mae_pct,mfe_pct
2018-06-18 00:00:00+00:00,2018-06-25 00:00:00+00:00,SHORT,263.3,17.03,238.8,15.09,0.0,-2675.5968361054584,-1.0433432300051841,7,signal,-2.9590216233322075,0.0
2018-06-27 00:00:00+00:00,2018-07-06 00:00:00+00:00,LONG,236.6,15.03,247.37,16.38,0.0,-5602.185219987388,-2.2150247265401544,9,signal,-2.2150247265401544,0.7102658588149114
2018-07-10 00:00:00+00:00,2018-07-16 00:00:00+00:00,SHORT,249.7,16.2,246.3,16.48,0.0,3755.480152846379,1.5450145112406484,6,signal,0.0,1.5450145112406484
2018-07-17 00:00:00+00:00,2018-07-18 00:00:00+00:00,LONG,254.62,16.93,252.0,16.87,0.0,-913.355218814405,-0.3372919481647251,1,signal,-0.3372919481647251,0.0
2018-07-19 00:00:00+00:00,2018-07-26 00:00:00+00:00,LONG,252.75,16.72,256.7,18.96,0.25,-14788.218495326983,-5.9171600433509,7,stop_loss,-5.9171600433509,0.5766200975868292
2018-08-22 00:00:00+00:00,2018-08-27 00:00:00+00:00,SHORT,262.8,20.91,276.0,25.49,0.25,20582.744471356986,8.440282227157486,5,profit_target,0.0,8.440282227157486
2018-10-03 00:00:00+00:00,2018-10-15 00:00:00+00:00,SHORT,285.68,28.39,237.49,26.29,0.0,11772.505760508939,4.735776729276548,12,signal,-0.13932078682834173,4.735776729276548
2018-10-18 00:00:00+00:00,2018-10-30 00:00:00+00:00,LONG,240.44,26.7,202.81,17.5,0.25,23724.12419734343,9.40322735409552,12,profit_target,-0.9130155887738913,9.40322735409552
2018-12-07 00:00:00+00:00,2018-12-14 00:00:00+00:00,SHORT,147.15,19.3,146.59,19.95,0.0,4771.947737876801,1.8742198489786044,7,signal,0.0,2.548552022098631
2018-12-18 00:00:00+00:00,2019-01-08 00:00:00+00:00,LONG,144.8,19.28,139.74,20.71,0.25,-14263.806763824492,-5.455743793127164,21,stop_loss,-5.455743793127164,0.6645308452350882
2019-05-14 00:00:00+00:00,2019-05-28 00:00:00+00:00,LONG,162.53,27.41,142.85,29.06,0.25,-23315.209298236732,-9.064117324126371,14,stop_loss,-9.064117324126371,0.0
2019-06-06 00:00:00+00:00,2019-06-18 00:00:00+00:00,SHORT,143.6,31.9,154.2,30.79,0.25,-13683.297284567094,-5.4306197116686,12,stop_loss,-5.4306197116686,0.4412072894927616
2019-09-16 00:00:00+00:00,2019-09-19 00:00:00+00:00,SHORT,180.51,30.92,176.98,30.35,0.0,65.78573513907733,0.056051658435353015,3,signal,-0.5444201756085243,0.056051658435353015
