quarter,train_end,eval_start,eval_end,total_return_pct,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,total_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,expected_value_per_trade,avg_trade_duration_days,avg_max_adverse_excursion_pct,avg_max_favorable_excursion_pct,alpha_daily,alpha_annualized,alpha_tstat,alpha_pvalue,beta,beta_tstat,r_squared,information_ratio,n_observations
1,2020-06-30 00:00:00+00:00,2020-07-01 00:00:00+00:00,2020-09-30 00:00:00+00:00,-0.06706532128774034,-0.2638097007743312,2.2687093409640706,-0.9885368415242661,-0.8808495386802085,-0.6032320565630189,-0.43732705830889695,1,0.0,0.0,-0.24790903832775038,0.0,-0.24790903832775038,11.0,2.40292822625209,1.8696552743620858,-8.905143663232386e-05,-0.022440962031345612,-1.0419226933195889,0.29744752191177815,0.00015396244205964307,0.08607600169586983,1.5214645653349734e-06,-0.9969709417823179,64
2,2020-09-30 00:00:00+00:00,2020-10-01 00:00:00+00:00,2020-12-31 00:00:00+00:00,0.16478763372274052,0.6504234065006997,0.39346218175153613,-3.407214305182588,-6.9319616780195235,-0.08470129971787117,7.6790250995814,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7398364384634265e-05,-0.011944387824927835,-1.6033892018765046,0.1088487535317805,-0.003758137741002932,-1.1587718115628904,0.020760702958648514,-3.0917073981568803,64
3,2020-12-31 00:00:00+00:00,2021-01-04 00:00:00+00:00,2021-03-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61
4,2021-03-31 00:00:00+00:00,2021-04-01 00:00:00+00:00,2021-06-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,63
5,2021-06-30 00:00:00+00:00,2021-07-01 00:00:00+00:00,2021-09-30 00:00:00+00:00,-0.40691024307861756,-1.617733337963101,0.5295348044069275,-6.9038124460998525,-2.7795668083533216,-0.40691024307860646,-3.975651548419215,1,0.0,0.0,-3.5214938864169785,0.0,-3.5214938864169785,6.0,3.5214938864169785,0.0,-0.0001450243334289231,-0.036546132024088615,-2.6907203195125113,0.007129793936948079,-0.003981142250191224,-1.1106814610639688,0.006296149950517971,-6.976846352452127,63
6,2021-09-30 00:00:00+00:00,2021-10-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,-0.7681448377539035,-2.9906156916173376,1.3027864141300798,-3.896057253485308,-1.138518771175731,-0.7681448377539035,-3.893296608439181,1,0.0,0.0,-3.05209741569884,0.0,-3.05209741569884,4.0,3.05209741569884,0.0,-0.0001984960935215321,-0.05002101556742609,-1.7927403756456635,0.07301444728842878,-0.0006668948101067488,-0.42059115167800293,5.063684940864732e-05,-3.869322775703504,64
7,2021-12-31 00:00:00+00:00,2022-01-03 00:00:00+00:00,2022-03-31 00:00:00+00:00,1.1083223401157527,4.581881269271504,2.5116879283639997,1.0293423213893438,0.6388718337133318,-0.789397079682074,5.804279477594261,1,100.0,0.9882084915323951,0.0,2445.8273665795973,0.9882084915323951,14.0,0.2882894131294326,4.067692726315975,8.627292633703842e-05,0.021740777436933683,0.45233578921547524,0.6510270969658752,-0.017618431239683575,-1.19888725092682,0.02061002930714284,0.8816905303137123,62
8,2022-03-31 00:00:00+00:00,2022-04-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,-1.1451399061126688,-4.573412135378652,1.778957754884072,-3.789724307352135,-3.5314146301744707,-1.247541262679995,-3.665940576229077,2,0.0,0.0,-1.8781049082930774,0.0,-1.8781049082930774,9.5,2.108514481492464,1.0285815367939293,-0.00021507542244203294,-0.0541990064553923,-1.5157161877193464,0.12959113261602434,0.01713913535640782,1.427058597199612,0.07001052285290199,-3.1843359436459213,62
9,2022-06-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-09-30 00:00:00+00:00,1.4192369650320336,5.70580402992964,2.0318819176192457,1.8004609434976875,1.7749309596612477,-0.6775607235254136,8.421096193772556,1,100.0,0.9227120178791142,0.0,2276.2025071781154,0.9227120178791142,28.0,0.18522862737058784,3.048283077710512,0.00014119322855788113,0.03558069359658605,1.0618487857897965,0.28830433816278345,-0.0005778325253273592,-0.05468704949026478,3.6326595444613474e-05,1.7645710817171634,64
10,2022-09-30 00:00:00+00:00,2022-10-03 00:00:00+00:00,2022-12-30 00:00:00+00:00,-0.286465486586851,-1.1409475943395586,0.3662356930869535,-8.642840418208545,-6.5043858247622435,-0.3120472911836222,-3.6563291096418316,1,0.0,0.0,-3.5603694579911145,0.0,-3.5603694579911145,13.0,3.5603694579911145,0.3307735225480263,-0.00011868293411291358,-0.02990809939645422,-4.322745783919437,1.5409925991960137e-05,-0.005446221105096663,-1.4777953580169445,0.15824087863861214,-8.969541179955653,63
11,2022-12-30 00:00:00+00:00,2023-01-03 00:00:00+00:00,2023-03-31 00:00:00+00:00,-0.7647979904412128,-3.072297193056983,0.8779979703579792,-5.885636247323472,-2.933335731458435,-0.764797990441235,-4.01713554619107,1,0.0,0.0,-3.0376999870827226,0.0,-3.0376999870827226,3.0,3.0376999870827226,0.0,-0.00019271385238893606,-0.048563890802011886,-1.922846358653245,0.054499348077620746,-0.009771588922105516,-1.220265322827601,0.03113977700573578,-5.662907989361114,62
12,2023-03-31 00:00:00+00:00,2023-04-03 00:00:00+00:00,2023-06-30 00:00:00+00:00,-1.1792877839421734,-4.707322460251973,1.2794654172648048,-5.386695876059945,-3.5430376776064865,-1.1768172043722773,-4.000045582918625,2,0.0,0.0,-3.524373082535539,0.0,-3.524373082535539,9.5,3.524373082535539,0.0,-0.00027290264741849446,-0.0687714671494606,-2.335334042712557,0.019525977098754248,0.0021178411445209127,0.4385074093085535,0.0003335633703033247,-5.417264220613214,62
13,2023-06-30 00:00:00+00:00,2023-07-03 00:00:00+00:00,2023-09-29 00:00:00+00:00,0.3040804369895067,1.2218808979457263,0.9633860597288096,-0.7902095017549274,-0.6566967155316773,-0.14855199255654655,8.225274376448471,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5445017947051093e-05,-0.006412144522656876,-0.4289520080692769,0.6679581506823391,0.008978762680526785,0.990872745032775,0.01074731373571558,-0.674529803652546,63
14,2023-09-29 00:00:00+00:00,2023-10-02 00:00:00+00:00,2023-12-29 00:00:00+00:00,-0.2694249323899167,-1.0733521596389517,1.594105151353481,-1.934518261342667,-1.239475655099693,-0.7721403406323202,-1.3900998343901623,1,100.0,0.018606220037972528,0.0,19.459734677280657,0.018606220037972528,8.0,0.22809119315242912,1.6058832817168422,-0.00014399507896716067,-0.03628675989972449,-2.1197856052121615,0.03402412979178292,0.013638007795922828,0.856142791762171,0.011541996706476598,-2.307917191924587,63
15,2023-12-29 00:00:00+00:00,2024-01-02 00:00:00+00:00,2024-03-28 00:00:00+00:00,-0.32016289593940206,-1.3160256413762061,0.3789857066901632,-8.829057551181362,-4.300903559790747,-0.319213799240364,-4.122709120056728,1,0.0,0.0,-3.3414334103335706,0.0,-3.3414334103335706,9.0,3.3414334103335706,0.0,-0.000124693431775251,-0.03142274480736325,-3.59384497790559,0.00032583374488202676,-0.00476955884464595,-1.0027071153121636,0.016847364146863608,-8.427950419127155,61
16,2024-03-28 00:00:00+00:00,2024-04-01 00:00:00+00:00,2024-06-28 00:00:00+00:00,0.501033949888674,2.0521487275242167,1.9522525058680684,0.04293122289939927,0.02292970965637197,-0.6404660723718288,3.2041490034351447,1,100.0,2.022901875750473,0.0,5035.339498886669,2.022901875750473,10.0,0.0,4.605432273633402,5.105200631246519e-06,0.0012865105590741228,0.02818469259257129,0.9775148459166377,-0.005583642442451601,-0.22662430733892744,0.00107167663796226,0.06646994137147404,62
17,2024-06-28 00:00:00+00:00,2024-07-01 00:00:00+00:00,2024-09-30 00:00:00+00:00,-0.8085730167581184,-3.1461433020797513,1.7340937615885468,-3.017230436791059,-1.383052900097209,-0.8085730167581184,-3.890982306945952,1,0.0,0.0,-3.230646729701175,0.0,-3.230646729701175,7.0,3.230646729701175,0.0,-0.0002000316673646634,-0.05040798017589518,-2.05474524800198,0.03990361706391474,-0.007395588472363568,-0.8920810066137097,0.004450698260493158,-2.936082646168958,64
18,2024-09-30 00:00:00+00:00,2024-10-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,0.4974452637923843,1.9730473947850768,0.8698481883826588,-0.012983466550535696,-0.015797842473866567,-0.2065842207768842,9.550813645714085,1,100.0,6.238034718612051,0.0,4982.452637923906,6.238034718612051,20.0,2.572302759711026,6.238034718612051,-4.0914598299227064e-06,-0.001031047877140522,-0.07448205282352435,0.940626821268984,0.007855264427425696,1.1345278807348074,0.011995886944000889,-0.1201725674647074,64
19,2024-12-31 00:00:00+00:00,2025-01-02 00:00:00+00:00,2025-03-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60
20,2025-03-31 00:00:00+00:00,2025-04-01 00:00:00+00:00,2025-06-30 00:00:00+00:00,0.4178348440611934,1.7092007794365927,1.490610733845236,-0.17864859035723255,-0.19641801401774342,-0.5220897315731449,3.2737682357522737,1,100.0,2.260240112994351,0.0,5623.884092514126,2.260240112994351,21.0,0.0,3.7894303201506636,-4.304515026001344e-06,-0.0010847377865523388,-0.03867452675772546,0.9691498829131083,-0.004094707231302067,-0.610232304951386,0.008432935419353083,-0.07367355136716064,62
21,2025-06-30 00:00:00+00:00,2025-07-01 00:00:00+00:00,2025-09-30 00:00:00+00:00,2.109899793378367,8.568705430763245,2.0938999435234007,3.044591530500788,3.927607983377437,-0.49541711467830407,17.295941494324996,1,100.0,6.806156936138712,0.0,16985.5302287757,6.806156936138712,26.0,1.9816189170018066,6.806156936138712,0.00024364181904778007,0.06139773840004058,1.2728197243426178,0.2030820202877619,0.0038203927999567525,0.3762913793363954,0.00029509844558428533,2.954370516734199,64
22,2025-09-30 00:00:00+00:00,2025-10-01 00:00:00+00:00,2025-12-31 00:00:00+00:00,-2.9275751469312605,-11.040973626575045,6.508355304513147,-2.0997509527507776,-0.5290583865367697,-3.256856776306828,-3.390070360752909,1,0.0,0.0,-11.68930840451649,0.0,-11.68930840451649,4.0,11.68930840451649,1.371467566188944,-0.0005318550557738936,-0.1340274740550212,-1.198196102013696,0.2308406825462609,-0.008529750361434652,-0.8396316841608941,0.0003053851231311633,-2.075703706007147,64
23,2025-12-31 00:00:00+00:00,2026-01-02 00:00:00+00:00,2026-02-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31
