quarter,train_end,eval_start,eval_end,half_life,use_hawkes_regimes,hawkes_lambda_bar,hawkes_alpha,hawkes_beta,hawkes_beta_H,mrjd_kappa,mrjd_theta,mrjd_sigma,mrjd_jump_mean,mrjd_jump_std,lambda_p25,lambda_p50,lambda_p75,lambda_p90,lambda_p95
1,2020-06-30 00:00:00+00:00,2020-07-01 00:00:00+00:00,2020-09-30 00:00:00+00:00,49.864965983373665,True,0.020296036378147624,0.17835745315218485,0.22584449456817582,0.22584449456817582,0.014050760139341556,4.953027082248395,5.0,0.035646635695528985,0.5207984931804264,0.020297375691061856,0.021232065954237673,0.07234005377271033,0.3637912298736141,0.5014655165175602
2,2020-09-30 00:00:00+00:00,2020-10-01 00:00:00+00:00,2020-12-31 00:00:00+00:00,48.112581334807075,True,0.018586759611331116,0.17921802863767644,0.22926897190373152,0.22926897190373152,0.014529462351059888,1.5152623300127612,5.0,0.0440835305656419,0.5286341173471036,0.01858735804865623,0.019048667327245573,0.04721921326693733,0.27920272387733386,0.46933427711852793
3,2020-12-31 00:00:00+00:00,2021-01-04 00:00:00+00:00,2021-03-31 00:00:00+00:00,42.1896715090878,True,0.02081609283173118,0.17427814404580286,0.21702806256807422,0.21702806256807422,0.016562518798861153,1.7559359764479472,5.0,0.05668547061492254,0.9399010236205989,0.02081850144412694,0.021769352892302498,0.0682095509757042,0.3799439699440031,0.5205495305380948
4,2021-03-31 00:00:00+00:00,2021-04-01 00:00:00+00:00,2021-06-30 00:00:00+00:00,42.003225667781585,True,0.021231569180251843,0.18866196585720735,0.2337479419393938,0.2337479419393938,0.016635231103659533,1.4236259819461943,5.0,0.05778657632309273,0.8875768262013022,0.021233154474223172,0.022341834299518516,0.07985984892165564,0.44899076737347693,0.530330705079536
5,2021-06-30 00:00:00+00:00,2021-07-01 00:00:00+00:00,2021-09-30 00:00:00+00:00,43.82186236043324,True,0.022146351113759847,0.19304144407765306,0.23262668059720965,0.23262668059720965,0.015948558138648296,2.5692892855773564,5.0,0.07313612953163161,0.8188386773833436,0.02214979709085808,0.02351850436681555,0.0863988557767902,0.47376567859062196,0.5602333513763172
6,2021-09-30 00:00:00+00:00,2021-10-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,43.787235186602864,True,0.020659008941914962,0.18143414650662115,0.21701215839726307,0.21701215839726307,0.01595634040393467,2.664867753915975,5.0,0.04915321542272599,0.8867955891780793,0.020661728014624278,0.022583407255944085,0.109554508469605,0.4926756674239841,0.5736896003632915
7,2021-12-31 00:00:00+00:00,2022-01-03 00:00:00+00:00,2022-03-31 00:00:00+00:00,43.069484328185546,True,0.02086825119344177,0.1874519024815964,0.22231002976717332,0.22231002976717332,0.016220881124496763,1.6153604051892445,5.0,0.04390696274239893,0.8333999894628181,0.020870996818078327,0.02306839636200772,0.11708479282789122,0.4982613046266721,0.5878812794929821
8,2022-03-31 00:00:00+00:00,2022-04-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,43.53531949685475,True,0.019973646963542688,0.18575930198486335,0.22080028661362378,0.22080028661362378,0.016048903962656368,1.979275646191242,5.0,0.043463530170348236,0.8313029946252751,0.019975184890964913,0.02141682184508781,0.10102770401083899,0.4943560931880826,0.5765170303371698
9,2022-06-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-09-30 00:00:00+00:00,43.67249466310314,True,0.01821764723165843,0.18603235553164787,0.22005131058828406,0.22005131058828406,0.015995992731149905,0.7851841428640154,5.0,0.043463530170348236,0.8313029946252751,0.01821859963660476,0.01913068258627136,0.09184295884135696,0.4866225818315775,0.5624540392440961
10,2022-09-30 00:00:00+00:00,2022-10-03 00:00:00+00:00,2022-12-30 00:00:00+00:00,43.67186059368261,True,0.017563425072947652,0.18229707984577379,0.22030893262464354,0.22030893262464354,0.01599588010939545,1.02132116377144,5.0,0.04206663747792509,0.829189488629557,0.017563621645275855,0.018033039200597047,0.07530579400506905,0.4643915278993572,0.5455765124369659
