quarter,train_end,eval_start,eval_end,half_life,use_hawkes_regimes,hawkes_lambda_bar,hawkes_alpha,hawkes_beta,hawkes_beta_H,mrjd_kappa,mrjd_theta,mrjd_sigma,mrjd_jump_mean,mrjd_jump_std,lambda_p25,lambda_p50,lambda_p75,lambda_p90,lambda_p95
1,2020-06-30 00:00:00+00:00,2020-07-01 00:00:00+00:00,2020-09-30 00:00:00+00:00,40.95369599926041,True,0.012158321760256097,0.20725751014616275,0.24919640468096454,0.24919640468096454,0.01697903953858252,1.717146882787618,4.715690306334339,0.06452852950898098,0.2478567630893541,0.01215832176058725,0.01216510135263588,0.017091711175701404,0.17381821391297755,0.4932076032905169
2,2020-09-30 00:00:00+00:00,2020-10-01 00:00:00+00:00,2020-12-31 00:00:00+00:00,41.48496318509947,True,0.010661711684597478,0.20238051296018847,0.2440614907124361,0.2440614907124361,0.016764623916573823,1.5992038732188785,4.339484269523639,0.05261558820594676,0.24319078367870273,0.010661711685002928,0.010662889180615294,0.0132158145762555,0.16921459117540463,0.4580561260790481
3,2020-12-31 00:00:00+00:00,2021-01-04 00:00:00+00:00,2021-03-31 00:00:00+00:00,46.00764146621117,True,0.008698171171965847,0.165520267002674,0.20857565684502674,0.20857565684502674,0.015110937805060983,1.6677865022065597,4.140578028451591,0.07213647418377556,0.2075925996554435,0.008698171173453836,0.008698438121101286,0.009893217288214436,0.08827113679951436,0.20974618940000977
4,2021-03-31 00:00:00+00:00,2021-04-01 00:00:00+00:00,2021-06-30 00:00:00+00:00,44.62687804792466,True,0.006890332782771289,0.17233894246909504,0.2121892219978074,0.2121892219978074,0.015578068702194397,1.5251995842387858,3.9765236349665454,0.0625263846496014,0.20831099086424695,0.0068903327827714,0.006890335260102699,0.007124233398835583,0.05487801186606979,0.17724283232339422
5,2021-06-30 00:00:00+00:00,2021-07-01 00:00:00+00:00,2021-09-30 00:00:00+00:00,45.8193279864723,True,0.006567459751186244,0.20130032546126128,0.25497979997360787,0.25497979997360787,0.015168684400597826,1.6828868297625956,3.89080388742753,0.0691994910555293,0.20871853092971404,0.006567459751186244,0.006567459754020724,0.006585732726870242,0.023762373722196445,0.15458354109600497
6,2021-09-30 00:00:00+00:00,2021-10-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,43.70706658629354,True,0.006037762615758095,0.2011411465043887,0.25427976862872304,0.25427976862872304,0.015901726460825067,1.611482472915997,3.7823416417901523,0.0691994910555293,0.20871853092971404,0.006037762615758095,0.00603776261595526,0.006044133893296118,0.019135477579905767,0.12722025840216195
7,2021-12-31 00:00:00+00:00,2022-01-03 00:00:00+00:00,2022-03-31 00:00:00+00:00,48.3862159628042,True,0.005581399797224683,0.1881357055528868,0.23916586485638355,0.23916586485638355,0.014357662248611517,1.7186449745474464,3.7404422225051133,0.07518179028456795,0.20861074934574544,0.005581399797224683,0.005581399797284265,0.005586461084057631,0.01398573823012883,0.10644059996329056
8,2022-03-31 00:00:00+00:00,2022-04-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,70.41480442207855,True,0.005967731533689085,0.18281460894865767,0.23950569389832754,0.23950569389832754,0.009870018100747753,1.2040592451394116,3.825281577984281,0.06356584521551831,0.21710031571047797,0.005967731533689085,0.005967731533714678,0.005974073412633132,0.015492791653989582,0.09880166356035568
9,2022-06-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-09-30 00:00:00+00:00,51.700557601991044,True,0.007024565995334509,0.186133627475192,0.24890228901638548,0.24890228901638548,0.013435753996953095,1.4607003967073309,3.993499921888404,0.1108186469024395,0.2689235178299913,0.007024565995334509,0.0070245659953465985,0.007034133630891607,0.020864609175505835,0.11935965367522407
10,2022-09-30 00:00:00+00:00,2022-10-03 00:00:00+00:00,2022-12-30 00:00:00+00:00,49.95257895074413,True,0.008685351790811582,0.18001173056556977,0.26299360454939447,0.26299360454939447,0.013903558601594042,1.4830529759558309,3.960367597496129,0.10862255643393114,0.2597683142912645,0.008685351790811582,0.008685351790849385,0.008752816371698297,0.030112269682814878,0.11509422924914997
11,2022-12-30 00:00:00+00:00,2023-01-03 00:00:00+00:00,2023-03-31 00:00:00+00:00,50.68698718477334,True,0.008190540266405089,0.18372260240518568,0.26892373704626105,0.26892373704626105,0.013702645401776068,1.4323784303009475,3.8729426133004234,0.10862255643393114,0.2597683142912645,0.008190540266405089,0.008190540266815705,0.00824814497931678,0.024522335353858657,0.10298353601744081
12,2023-03-31 00:00:00+00:00,2023-04-03 00:00:00+00:00,2023-06-30 00:00:00+00:00,47.48085219009756,True,0.007602865483985213,0.1481412539675933,0.2219272016224665,0.2219272016224665,0.014624117594822524,1.5364027999683576,3.921988909475666,0.09239345961041391,0.24433649348398867,0.007602865483985213,0.007602865488973735,0.007700753458478719,0.022725118450638158,0.08164831729616014
13,2023-06-30 00:00:00+00:00,2023-07-03 00:00:00+00:00,2023-09-29 00:00:00+00:00,47.26018196959482,True,0.006678997923438104,0.15760548736160077,0.22993882575044242,0.22993882575044242,0.014693235174585843,1.4718224671368858,3.830799597968451,0.08739393283908853,0.24531615616279392,0.006678997923438104,0.006678997923697494,0.006704292110313021,0.01472781224006853,0.06950316169855379
14,2023-09-29 00:00:00+00:00,2023-10-02 00:00:00+00:00,2023-12-29 00:00:00+00:00,46.83219888530554,True,0.006350148594321002,0.15722039484234915,0.22902888462242363,0.22902888462242363,0.014825460245853848,1.5532512982074047,3.795884487405209,0.08739393283908853,0.24531615616279392,0.006350148594321002,0.006350148594357734,0.006363282795685898,0.014356803905040174,0.06248512467299348
15,2023-12-29 00:00:00+00:00,2024-01-02 00:00:00+00:00,2024-03-28 00:00:00+00:00,55.6488631233244,True,0.006051569514841296,0.15679380840485918,0.228083471830097,0.228083471830097,0.012472023884272588,1.63877559308304,4.035254868027103,0.08739393283908853,0.24531615616279392,0.006051569514841296,0.006051569514846346,0.006059736718746235,0.012492075509457015,0.056176287569804466
16,2024-03-28 00:00:00+00:00,2024-04-01 00:00:00+00:00,2024-06-28 00:00:00+00:00,51.40208301532199,True,0.005915848524653071,0.1958943580871628,0.24992212398951605,0.24992212398951605,0.013500950980203293,1.6412922890473065,4.19535741241217,0.0732257784756663,0.22119623882146625,0.005915848524653071,0.005915848524653071,0.005920067502691901,0.015681544390901442,0.11018241793630146
17,2024-06-28 00:00:00+00:00,2024-07-01 00:00:00+00:00,2024-09-30 00:00:00+00:00,48.47149629986791,True,0.005655200785685601,0.1957873195291384,0.24956104070838517,0.24956104070838517,0.01431643108102769,1.5863026398513729,4.175438616662308,0.0732257784756663,0.22119623882146625,0.005655200785685601,0.005655200785685603,0.005657811561004719,0.013297191771887665,0.0983459409577022
18,2024-09-30 00:00:00+00:00,2024-10-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,45.7168208258055,True,0.005927772133754781,0.20446654030588352,0.24315412221104246,0.24315412221104246,0.015177493346494228,1.5635602915674007,4.373202306604625,0.06696221724979659,0.2267004232159811,0.005927772133754781,0.005927772133754786,0.00593131404056998,0.017201878740967572,0.13662777135239373
19,2024-12-31 00:00:00+00:00,2025-01-02 00:00:00+00:00,2025-03-31 00:00:00+00:00,44.06452485664317,True,0.005744332231812543,0.21214955007017688,0.2577709081483067,0.2577709081483067,0.015745546822276777,1.6205884043187246,4.475154792251639,0.07186810420183389,0.22165364245392946,0.005744332231812543,0.005744332231812553,0.005748549631267994,0.020628052251542205,0.16968761687851813
20,2025-03-31 00:00:00+00:00,2025-04-01 00:00:00+00:00,2025-06-30 00:00:00+00:00,48.16116353194184,True,0.006064267546900258,0.21764863686964248,0.2568903809667178,0.2568903809667178,0.01440573085760472,1.534058633753509,4.510492121868351,0.06917331770455618,0.21675528665913307,0.006064267546900258,0.006064267546900474,0.006072112632670548,0.032942996290633006,0.304609100257126
21,2025-06-30 00:00:00+00:00,2025-07-01 00:00:00+00:00,2025-09-30 00:00:00+00:00,48.77860681267415,True,0.00641314508298903,0.1961734721037993,0.23204531727923236,0.23204531727923236,0.014222908610311575,1.5113326144632704,4.531753742669485,0.06954902704357233,0.26555352981541364,0.00641314508298903,0.0064131450830256995,0.006517512967310351,0.06789689348431631,0.4222520306858331
22,2025-09-30 00:00:00+00:00,2025-10-01 00:00:00+00:00,2025-12-31 00:00:00+00:00,49.402750972062265,True,0.005596597033573821,0.1958040321632667,0.23202588952643635,0.23202588952643635,0.014042078784038296,1.590732303485576,4.517154550546763,0.0702356075722881,0.2665590990316255,0.005596597033573821,0.005596597033600164,0.005639156768474606,0.05396041389711741,0.39400154981113855
23,2025-12-31 00:00:00+00:00,2026-01-02 00:00:00+00:00,2026-02-12 00:00:00+00:00,48.97016963062109,True,0.0067383214808155525,0.225940982918659,0.2667091724908629,0.2667091724908629,0.01416538322325499,1.647191410242596,4.736059337573876,0.08384799197012228,0.2651155563070792,0.0067383214808155525,0.006738321480817467,0.006774228949432472,0.07634224300292825,0.4597329267210357
