quarter,entry_date,exit_date,direction,entry_z,exit_z,entry_lambda,exit_lambda,entry_regime,exit_regime,position_size,pnl,return_pct,duration_days,exit_reason,mae_pct,mfe_pct
1,2020-08-13 00:00:00+00:00,2020-09-11 00:00:00+00:00,LONG,-2.066911887821378,0.2592013338896934,0.012158321812565197,0.012158321760294123,normal,calm,0.0,648.9326572117125,0.2720464750736633,29,signal,-0.9789933100387012,0.8834194866498777
2,2020-11-11 00:00:00+00:00,2020-11-17 00:00:00+00:00,LONG,-2.5316408606696292,-3.3995645069672453,0.010661711684597478,0.07039217714024561,calm,elevated,0.25,-948.5715497275066,-0.36883517034995894,6,trailing_stop,-0.36883517034995894,1.4751754685561358
3,2021-01-05 00:00:00+00:00,2021-01-25 00:00:00+00:00,SHORT,2.055773889197556,0.625570539490378,0.00870029615422966,0.00869820395809709,normal,normal,0.2400864114646331,3943.442538954512,1.6530892673240531,20,trailing_stop,-0.2614397154708325,3.203809663304592
5,2021-07-02 00:00:00+00:00,2021-08-04 00:00:00+00:00,SHORT,2.7279630238073005,0.07416493659047828,0.006567459751186244,0.006567459751186244,normal,normal,0.0,-6018.711141541455,-2.398235139431753,33,signal,-2.4868068753660615,0.0
6,2021-11-03 00:00:00+00:00,2021-12-03 00:00:00+00:00,LONG,-2.0668195392922715,2.8223101751027677,0.006037762615758095,0.006037762615758095,normal,normal,0.0,6402.918111863466,3.1484034602515907,30,signal,-0.4781468700526945,3.268146013554772
7,2022-03-08 00:00:00+00:00,2022-03-30 00:00:00+00:00,LONG,-3.1677494646688085,-1.7003271860196012,0.04085033262199112,0.005764330743454735,crisis,elevated,0.1,949.6737651495688,0.9592804763981166,22,trailing_stop,0.0,2.6005738613479097
9,2022-07-05 00:00:00+00:00,2022-08-09 00:00:00+00:00,LONG,-3.057609829864221,-0.3809970953696141,0.03961932188076521,0.017187845907713682,crisis,elevated,0.0,1062.7357359632722,1.073516028742617,35,signal,-2.238516337581583,1.8094545903765784
10,2022-11-16 00:00:00+00:00,2022-12-30 00:00:00+00:00,LONG,-2.1348008904665816,-0.3780227786968421,0.008685445905894287,0.008685351791698995,normal,normal,0.0,-677.9654019554176,-0.3047976163474541,44,signal,-1.21098796058324,0.7380937173832722
11,2023-01-17 00:00:00+00:00,2023-02-24 00:00:00+00:00,SHORT,2.7327758671868128,0.25719936400429033,0.008190540266409066,0.008190540266405089,normal,normal,0.0,9475.12537332276,3.799487511681164,38,signal,-0.6397304799451714,4.969490552838025
13,2023-07-18 00:00:00+00:00,2023-09-14 00:00:00+00:00,SHORT,2.944236692726937,0.40347260830159243,0.006678997923438104,0.006678997923438104,normal,normal,0.0,10757.524408436222,4.314326720994614,58,signal,-0.5002840092921939,4.314326720994614
14,2023-10-31 00:00:00+00:00,2023-12-06 00:00:00+00:00,LONG,-2.3763898186296584,-0.020881701257792387,0.006350148594321002,0.006350148594321002,normal,normal,0.0,4718.0118759419165,2.262050312403765,36,signal,-0.18263430899628227,2.262050312403765
16,2024-06-06 00:00:00+00:00,2024-06-26 00:00:00+00:00,LONG,-2.164380885544107,-0.8025400570195239,0.005915848524943298,0.005915848524655029,normal,normal,0.20250504873830222,-414.52240883614695,-0.1946817010454327,20,trailing_stop,-0.1946817010454327,1.6490552873524429
17,2024-08-13 00:00:00+00:00,2024-09-17 00:00:00+00:00,SHORT,2.4403091325743085,-0.8987408306453801,0.005655200785685601,0.37707529938459433,normal,crisis,0.0,-2939.719052812292,-1.3352763822488758,35,signal,-2.041425262674555,0.3473910362027245
19,2025-01-21 00:00:00+00:00,2025-02-21 00:00:00+00:00,LONG,-2.22651010415074,0.22089770160870958,0.005744332233088872,0.16968761687851858,normal,crisis,0.0,0.7597074740279339,0.010256401532424532,31,signal,-0.8803187326905108,0.9384899437703992
20,2025-05-19 00:00:00+00:00,2025-06-24 00:00:00+00:00,SHORT,2.10251340803769,0.6465761357950732,0.26001773776464193,0.044112471845774374,crisis,crisis,0.0,-847.1394973353755,-1.048652667898352,36,signal,-1.7462085160935583,0.09385391037472685
21,2025-08-08 00:00:00+00:00,2025-09-12 00:00:00+00:00,SHORT,2.5038188620071358,0.06894640662647818,0.0064145977208208745,0.006413145514505445,normal,normal,0.0,4572.37883869659,1.8392799236799553,35,signal,-0.5321991876154798,1.8717269465468465
22,2025-10-22 00:00:00+00:00,2025-11-25 00:00:00+00:00,LONG,-2.1203107177903115,1.9743567011379215,0.005596597033614026,0.19736196644278642,normal,crisis,0.0,-5591.252673057614,-2.256547001105119,34,signal,-2.8852014333076625,0.7832512865164142
