quarter,train_end,eval_start,eval_end,total_return_pct,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,total_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,expected_value_per_trade,avg_trade_duration_days,avg_max_adverse_excursion_pct,avg_max_favorable_excursion_pct,alpha_daily,alpha_annualized,alpha_tstat,alpha_pvalue,beta,beta_tstat,r_squared,information_ratio,n_observations
1,2020-06-30 00:00:00+00:00,2020-07-01 00:00:00+00:00,2020-09-30 00:00:00+00:00,-0.0695374416726513,-0.2735241579220893,0.6430448562554066,-3.5396862956710717,-2.563304055154708,-0.26781415756579874,-1.0213207561847721,1,0.0,0.0,-0.6751664842732108,0.0,-0.6751664842732108,18.0,1.6389535069406287,1.9980915495665879,-8.952841992034836e-05,-0.022561161819927785,-1.8487766364421299,0.06449007230910428,-0.00046748726707693684,-0.274909505950475,0.00017459924261686854,-3.5365136419637664,64
2,2020-09-30 00:00:00+00:00,2020-10-01 00:00:00+00:00,2020-12-31 00:00:00+00:00,-0.000999999999995449,-0.00393744216832248,0.001984063491047587,-1010.0483220634673,0.0,-0.000999999999995449,-3.9374421683403997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.950919375031076e-05,-0.02003631682507831,-559.8024676062588,0.0,-7.345009890273677e-06,-0.914542857975561,0.003118476556723704,-1019.3082654881412,64
3,2020-12-31 00:00:00+00:00,2021-01-04 00:00:00+00:00,2021-03-31 00:00:00+00:00,0.0013053162937648466,0.0053925643967334125,0.7881833477072396,-2.5265841045543924,-3.218425386912743,-0.4844556682981896,0.01113118237562701,1,100.0,1.056898240453782,0.0,1047.4864175736034,1.056898240453782,27.0,0.7431941110428709,3.1446844752811614,-5.8031596969658325e-05,-0.014623962436353898,-1.1395553604909248,0.2544715918234428,-0.022614183499463952,-2.797687502635969,0.2599174310855742,-2.1746381901105045,61
4,2021-03-31 00:00:00+00:00,2021-04-01 00:00:00+00:00,2021-06-30 00:00:00+00:00,0.08560507045165533,0.342860226478936,0.4739836477821638,-3.4834109829602133,-3.0737756029073857,-0.18557963591839516,1.8475099640226784,1,100.0,0.8764111346197206,0.0,866.0507045165652,0.8764111346197206,22.0,0.0,2.7268890565197292,-7.086246829815577e-05,-0.017857342011135254,-2.1007403388007546,0.03566376620564844,0.004306145471587109,1.3325597406555238,0.011639984185191077,-3.8199958555733584,63
5,2021-06-30 00:00:00+00:00,2021-07-01 00:00:00+00:00,2021-09-30 00:00:00+00:00,0.10628375288246339,0.4191460097918043,0.3017151552556376,-5.218936000735774,-4.831514373035066,-0.1652826288233953,2.5359350391241797,1,100.0,1.0825631093716517,0.0,1072.8375288245827,1.0825631093716517,17.0,0.0,2.7301597686325882,-6.274391509753817e-05,-0.01581146660457962,-1.7287127919048688,0.08386051077304242,0.00030931218580605496,0.42971074795133685,0.0001244820384491696,-5.281958865922824,64
6,2021-09-30 00:00:00+00:00,2021-10-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,0.31958232126412245,1.2642741408018798,0.5640287591668555,-1.2802292953026617,-0.9183644532496181,-0.15778587941092287,8.012593684060421,1,100.0,3.215137802012834,0.0,3205.823212641173,3.215137802012834,29.0,0.0,4.791226106409043,-2.2360222151322534e-05,-0.005634775982133279,-0.4908894021344427,0.6235046730831879,-0.004657352970463228,-0.48300593821392107,0.013176076521365987,-1.0134589893901504,64
7,2021-12-31 00:00:00+00:00,2022-01-03 00:00:00+00:00,2022-03-31 00:00:00+00:00,-0.11841744775872298,-0.4804370203355668,0.2775295153071833,-8.9687753547675,-6.3622117721827465,-0.1426846768234148,-3.3671241441724757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.777892211619584e-05,-0.024640288373281354,-6.2973346855142305,3.0280701844268487e-10,0.0008973610754500788,0.5460815067070266,0.004379231508727988,-8.969689327609277,62
8,2022-03-31 00:00:00+00:00,2022-04-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,-0.07998250313050459,-0.32469198278272104,0.6636869671706948,-3.5081976318058086,-1.5929556325426224,-0.3191020377802318,-1.017517735209009,1,0.0,0.0,-0.7797654033886177,0.0,-0.7797654033886177,15.0,0.7797654033886177,2.4088501261331032,-8.19820887709482e-05,-0.020659486370278944,-1.6919143147391786,0.09066231221762912,0.0035382653124189298,1.379934830501347,0.02144675663889828,-3.172426184198604,62
9,2022-06-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-09-30 00:00:00+00:00,0.028241834511599784,0.11124835870177652,0.4544375610325203,-4.150220482552242,-3.8136301612489407,-0.18432741763214272,0.6035366855938484,1,100.0,0.3026676185262579,0.0,292.41834511598915,0.3026676185262579,13.0,0.744878691826724,2.1396179912862103,-7.69584318233424e-05,-0.019393524819482286,-3.098702133999709,0.0019437032924358758,-0.0025153662358788635,-1.4165694998736367,0.013768250353984768,-4.331236570733285,64
10,2022-09-30 00:00:00+00:00,2022-10-03 00:00:00+00:00,2022-12-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,63
