quarter,train_end,eval_start,eval_end,half_life,use_hawkes_regimes,hawkes_lambda_bar,hawkes_alpha,hawkes_beta,hawkes_beta_H,mrjd_kappa,mrjd_theta,mrjd_sigma,mrjd_jump_mean,mrjd_jump_std,lambda_p25,lambda_p50,lambda_p75,lambda_p90,lambda_p95
1,2020-06-30 00:00:00+00:00,2020-07-01 00:00:00+00:00,2020-09-30 00:00:00+00:00,43.97457129093069,False,0.01,0.1,1.0,1.0,0.01586304145261551,3.8834279933821305,1.736295487813963,0.03467694943738464,0.04296840414354082,0.01,0.01,0.01,0.01,0.01
2,2020-09-30 00:00:00+00:00,2020-10-01 00:00:00+00:00,2020-12-31 00:00:00+00:00,42.83934628856946,False,0.01,0.1,1.0,1.0,0.016261268300501144,3.7380125923432836,1.7284568666120559,0.03467694943738464,0.04296840414354082,0.01,0.01,0.01,0.01,0.01
3,2020-12-31 00:00:00+00:00,2021-01-04 00:00:00+00:00,2021-03-31 00:00:00+00:00,42.74733108187774,False,0.01,0.1,1.0,1.0,0.016296717086854914,3.7522985982173913,1.6652074556017253,0.03467694943738464,0.04296840414354082,0.01,0.01,0.01,0.01,0.01
4,2021-03-31 00:00:00+00:00,2021-04-01 00:00:00+00:00,2021-06-30 00:00:00+00:00,43.42728216870817,False,0.01,0.1,1.0,1.0,0.016035169329836448,3.738885641755392,1.6186608431865848,0.03467694943738464,0.04296840414354082,0.01,0.01,0.01,0.01,0.01
5,2021-06-30 00:00:00+00:00,2021-07-01 00:00:00+00:00,2021-09-30 00:00:00+00:00,43.84398420136287,False,0.01,0.1,1.0,1.0,0.015878401423468053,3.7060462759579207,1.5778020888406905,0.03467694943738464,0.04296840414354082,0.01,0.01,0.01,0.01,0.01
6,2021-09-30 00:00:00+00:00,2021-10-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,42.51191594376409,False,0.01,0.1,1.0,1.0,0.016374513301549768,3.755846184520721,1.6141921116257016,0.03467694943738464,0.04296840414354082,0.01,0.01,0.01,0.01,0.01
7,2021-12-31 00:00:00+00:00,2022-01-03 00:00:00+00:00,2022-03-31 00:00:00+00:00,43.60263971100666,False,0.01,0.1,1.0,1.0,0.015965728250689887,3.792286880621656,1.5774578504134256,0.03467694943738464,0.04296840414354082,0.01,0.01,0.01,0.01,0.01
8,2022-03-31 00:00:00+00:00,2022-04-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,43.165470596311096,False,0.01,0.1,1.0,1.0,0.016127193723467634,3.8048998542650514,1.5574095717846421,0.010289601459582057,0.052032394731480726,0.01,0.01,0.01,0.01,0.01
9,2022-06-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-09-30 00:00:00+00:00,47.36889119961692,False,0.01,0.1,1.0,1.0,0.01469764341664496,3.871904913281347,1.5209058129405137,0.010289601459582057,0.052032394731480726,0.01,0.01,0.01,0.01,0.01
10,2022-09-30 00:00:00+00:00,2022-10-03 00:00:00+00:00,2022-12-30 00:00:00+00:00,44.39077733155816,False,0.01,0.1,1.0,1.0,0.015679254275569706,3.8069073387584327,1.4929640277137861,0.010289601459582057,0.052032394731480726,0.01,0.01,0.01,0.01,0.01
