quarter,entry_date,exit_date,direction,entry_z,exit_z,entry_lambda,exit_lambda,entry_regime,exit_regime,position_size,pnl,return_pct,duration_days,exit_reason,mae_pct,mfe_pct
1,2020-07-30 00:00:00+00:00,2020-08-17 00:00:00+00:00,LONG,-2.000570870314256,-2.5324503127633724,0.01,0.01,normal,normal,0.1,-685.3744167265799,-0.6751664842732108,18,trailing_stop,-1.6389535069406287,1.9980915495665879
3,2021-01-05 00:00:00+00:00,2021-02-01 00:00:00+00:00,LONG,-2.385949144123,-0.3622079147061447,0.01,0.01,normal,normal,0.1,1047.4864175736034,1.056898240453782,27,trailing_stop,-0.7431941110428709,3.1446844752811614
4,2021-04-05 00:00:00+00:00,2021-04-27 00:00:00+00:00,SHORT,2.1017351818560486,1.037361019303165,0.01,0.01,normal,normal,0.1,866.0507045165652,0.8764111346197206,22,trailing_stop,0.0,2.7268890565197292
5,2021-07-23 00:00:00+00:00,2021-08-09 00:00:00+00:00,SHORT,2.281915490984005,1.279093882585356,0.01,0.01,normal,normal,0.1,1072.8375288245827,1.0825631093716517,17,trailing_stop,0.0,2.7301597686325882
6,2021-11-17 00:00:00+00:00,2021-12-16 00:00:00+00:00,LONG,-2.0604917215970375,-0.11662224823126081,0.01,0.01,normal,normal,0.1,3205.823212641173,3.215137802012834,29,trailing_stop,0.0,4.791226106409043
8,2022-04-06 00:00:00+00:00,2022-04-21 00:00:00+00:00,SHORT,2.0757555260909166,1.430708905229495,0.01000000001026188,0.010000000000000004,normal,normal,0.1,-789.8250313051033,-0.7797654033886177,15,trailing_stop,-0.7797654033886177,2.4088501261331032
9,2022-07-15 00:00:00+00:00,2022-07-28 00:00:00+00:00,LONG,-2.165880063590071,-2.2211578437213713,0.01,0.01,normal,normal,0.1,292.41834511598915,0.3026676185262579,13,trailing_stop,-0.744878691826724,2.1396179912862103
11,2023-01-18 00:00:00+00:00,2023-02-17 00:00:00+00:00,LONG,-2.110913809475273,0.32002390998747804,0.01,0.01,normal,normal,0.0,2791.7142857504055,2.8010975345173104,30,signal,-2.1948468748110397,2.8010975345173104
12,2023-04-27 00:00:00+00:00,2023-05-11 00:00:00+00:00,SHORT,2.0482382282392533,0.24691086575040566,0.01,0.01,normal,normal,0.1,-1036.9628917165023,-1.0269253264781115,14,trailing_stop,-1.0269253264781115,1.6265423590325239
14,2023-10-03 00:00:00+00:00,2023-10-17 00:00:00+00:00,LONG,-3.054345621177503,-2.055851660637364,0.01,0.01,normal,normal,0.12726440088239596,-4801.053956902063,-3.761574627849736,14,stop_loss,-3.761574627849736,0.417863755282003
14,2023-11-27 00:00:00+00:00,2023-12-08 00:00:00+00:00,SHORT,2.194899043737082,0.5763910621694691,0.01,0.01,normal,normal,0.1,-39.999562598588454,-0.030257063972457355,11,trailing_stop,-0.030257063972457355,2.0501784052918475
18,2024-10-02 00:00:00+00:00,2024-10-15 00:00:00+00:00,LONG,-2.3538385983831454,-1.71806206944232,0.01,0.01,normal,normal,0.1,-325.63513775376936,-0.315599915652829,13,trailing_stop,-0.315599915652829,1.4140047709776133
19,2025-01-03 00:00:00+00:00,2025-02-07 00:00:00+00:00,SHORT,2.0830457819795702,-1.2151551083369614,0.01,0.01,normal,normal,0.0,4232.570436488221,4.243839370655096,35,signal,-0.39301714094150486,4.72816537065584
21,2025-08-07 00:00:00+00:00,2025-09-10 00:00:00+00:00,SHORT,2.1764502211026744,-0.2920685590957509,0.01,0.01,normal,normal,0.0,5194.128509120687,5.2053468814053065,34,signal,-0.17245632063304242,5.2053468814053065
22,2025-10-20 00:00:00+00:00,2025-11-07 00:00:00+00:00,LONG,-2.0619167240013883,0.6390425245616242,0.01,0.01,normal,normal,0.1,494.3952700855259,0.5035120216870955,18,trailing_stop,0.0,2.554177301026657
23,2026-01-27 00:00:00+00:00,2026-02-09 00:00:00+00:00,LONG,-2.0146281947905824,-2.085503190200121,0.01,0.01,normal,normal,0.1,2028.225223322506,2.037751638266351,13,trailing_stop,0.0,4.653564455233263
