date,quarter,signal,position,position_size,z_score,lambda,spread,jump,regime
2020-07-01 00:00:00+00:00,1,0.0,0.0,0.0,-0.8061148336375065,0.01,4.174979916134053,0,normal
2020-07-02 00:00:00+00:00,1,0.0,0.0,0.0,-1.2994586878628749,0.01,4.0560143064087715,0,normal
2020-07-06 00:00:00+00:00,1,0.0,0.0,0.0,-1.6457576769901314,0.01,3.964499788618731,0,normal
2020-07-07 00:00:00+00:00,1,0.0,0.0,0.0,-1.9378649610094676,0.01,3.8775484754229685,0,normal
2020-07-08 00:00:00+00:00,1,0.0,0.0,0.0,-1.9954406021138986,0.01,3.84379253309751,0,normal
2020-07-09 00:00:00+00:00,1,0.0,0.0,0.0,-1.7014815166170347,0.01,3.9048144209439033,0,normal
2020-07-10 00:00:00+00:00,1,0.0,0.0,0.0,-1.534865649526522,0.01,3.9398322298855453,0,normal
2020-07-13 00:00:00+00:00,1,0.0,0.0,0.0,-1.3892160117741124,0.01,3.974202948106141,0,normal
2020-07-14 00:00:00+00:00,1,0.0,0.0,0.0,-1.4695435071053666,0.01,3.950989328434283,0,normal
2020-07-15 00:00:00+00:00,1,0.0,0.0,0.0,-1.4781799502600892,0.01,3.946587715438978,0,normal
2020-07-16 00:00:00+00:00,1,0.0,0.0,0.0,-1.4568454111816382,0.01,3.9495513268736757,0,normal
2020-07-17 00:00:00+00:00,1,0.0,0.0,0.0,-1.332712510950448,0.01,3.9802218599590944,0,normal
2020-07-20 00:00:00+00:00,1,0.0,0.0,0.0,-1.2051694495318361,0.01,4.012569940666191,0,normal
2020-07-21 00:00:00+00:00,1,0.0,0.0,0.0,-0.8631361629018155,0.01,4.103811464068541,0,normal
2020-07-22 00:00:00+00:00,1,0.0,0.0,0.0,-0.7081713270636645,0.01,4.147149588504368,0,normal
2020-07-23 00:00:00+00:00,1,0.0,0.0,0.0,-0.7320966772136585,0.01,4.1444196027695055,0,normal
2020-07-24 00:00:00+00:00,1,0.0,0.0,0.0,-0.9295296255966443,0.01,4.0935664147579125,0,normal
2020-07-27 00:00:00+00:00,1,0.0,0.0,0.0,-1.15674528765077,0.01,4.031380660744897,0,normal
2020-07-28 00:00:00+00:00,1,0.0,0.0,0.0,-1.5990959508499796,0.01,3.9039801032030566,0,normal
2020-07-29 00:00:00+00:00,1,0.0,0.0,0.0,-1.7613813419901603,0.01,3.8409536155179995,0,normal
2020-07-30 00:00:00+00:00,1,1.0,1.0,0.1,-2.000570870314256,0.01,3.7459680100252424,0,normal
2020-07-31 00:00:00+00:00,1,0.0,1.0,0.1,-2.2307749281924756,0.01,3.64013165419946,0,normal
2020-08-03 00:00:00+00:00,1,0.0,1.0,0.1,-2.426489701356026,0.01,3.529488022234794,0,normal
2020-08-04 00:00:00+00:00,1,0.0,1.0,0.1,-2.6127854298223325,0.01,3.4040246811929307,0,normal
2020-08-05 00:00:00+00:00,1,0.0,1.0,0.1,-2.7125468135484985,0.01,3.292012817921612,0,normal
2020-08-06 00:00:00+00:00,1,0.0,1.0,0.1,-2.736041744298176,0.01,3.197580059809184,0,normal
2020-08-07 00:00:00+00:00,1,0.0,1.0,0.1,-2.904778933082589,0.01,3.025870518245351,0,normal
2020-08-10 00:00:00+00:00,1,0.0,1.0,0.1,-2.937679257299421,0.01,2.8940177578411923,0,normal
2020-08-11 00:00:00+00:00,1,0.0,1.0,0.1,-2.9906927198045037,0.01,2.738894348566016,0,normal
2020-08-12 00:00:00+00:00,1,0.0,1.0,0.1,-2.86167453891403,0.01,2.6754887842942914,0,normal
2020-08-13 00:00:00+00:00,1,0.0,1.0,0.1,-2.6778360934611714,0.01,2.6602435857552695,0,normal
2020-08-14 00:00:00+00:00,1,0.0,1.0,0.1,-2.571046943961446,0.01,2.6149360258550187,0,normal
2020-08-17 00:00:00+00:00,1,0.0,1.0,0.1,-2.5324503127633724,0.01,2.53370348725683,0,normal
2020-08-18 00:00:00+00:00,1,0.0,1.0,0.1,-2.4511103803630387,0.01,2.486338298774666,0,normal
2020-08-19 00:00:00+00:00,1,0.0,1.0,0.1,-2.3882959525439795,0.01,2.431801886758301,0,normal
2020-08-20 00:00:00+00:00,1,0.0,1.0,0.1,-2.1930800938163197,0.01,2.47632409786029,0,normal
2020-08-21 00:00:00+00:00,1,0.0,1.0,0.1,-2.0118502394618334,0.01,2.5269327166821935,0,normal
2020-08-24 00:00:00+00:00,1,0.0,1.0,0.1,-1.8336400147994152,0.01,2.588037950385277,0,normal
2020-08-25 00:00:00+00:00,1,0.0,1.0,0.1,-1.815043770191318,0.01,2.5433282406282545,0,normal
2020-08-26 00:00:00+00:00,1,0.0,1.0,0.1,-1.6320993394176455,0.01,2.6209725147139022,0,normal
2020-08-27 00:00:00+00:00,1,0.0,1.0,0.1,-1.4456821769960484,0.01,2.7115057875094175,0,normal
2020-08-28 00:00:00+00:00,1,0.0,1.0,0.1,-1.1753476277561183,0.01,2.872367651451971,0,normal
2020-08-31 00:00:00+00:00,1,0.0,1.0,0.1,-0.8349061048523057,0.01,3.0927133237438382,0,normal
2020-09-01 00:00:00+00:00,1,0.0,1.0,0.1,-0.5142465816667922,0.01,3.3049156289950146,0,normal
2020-09-02 00:00:00+00:00,1,2.0,0.0,0.0,-0.3620629349358858,0.01,3.3995609916548424,0,normal
2020-09-03 00:00:00+00:00,1,0.0,0.0,0.0,-0.3222877029254902,0.01,3.414886246432626,0,normal
2020-09-04 00:00:00+00:00,1,0.0,0.0,0.0,-0.20280549889743849,0.01,3.4865305318506765,0,normal
2020-09-08 00:00:00+00:00,1,0.0,0.0,0.0,-0.1821696399312367,0.01,3.4883004249672167,0,normal
