quarter,train_end,eval_start,eval_end,total_return_pct,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,total_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,expected_value_per_trade,avg_trade_duration_days,avg_max_adverse_excursion_pct,avg_max_favorable_excursion_pct,alpha_daily,alpha_annualized,alpha_tstat,alpha_pvalue,beta,beta_tstat,r_squared,information_ratio,n_observations
1,2020-06-30 00:00:00+00:00,2020-07-01 00:00:00+00:00,2020-09-30 00:00:00+00:00,-0.6419425940286438,-2.5039156012290675,1.2702563758906225,-3.59599845826569,-2.6290983151128082,-0.7884283865302074,-3.1758313678285273,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019742967942684809,-0.049752279215565715,-2.296531779694793,0.02164549423647168,0.013286582801466686,1.4609216284866957,0.03613466966531054,-4.020481947907603,64
2,2020-09-30 00:00:00+00:00,2020-10-01 00:00:00+00:00,2020-12-31 00:00:00+00:00,1.1253941946369306,4.505018369245706,1.43639686892204,1.7315145751580987,2.1752543594906513,-0.24062218050291262,18.722373639163223,1,100.0,4.20326344192221,0.0,10481.077124946161,4.20326344192221,39.0,0.05294814388866271,4.985468082105496,7.519972820979259e-05,0.018950331508867733,0.7480793044152672,0.454412324302763,0.012537137108147084,1.2845529197707521,0.017328598124368155,1.3409931662373398,64
3,2020-12-31 00:00:00+00:00,2021-01-04 00:00:00+00:00,2021-03-31 00:00:00+00:00,0.002340007209267192,0.00966726917730476,1.2295371970546678,-1.6124931685581505,-1.1318124617334595,-0.440429388863784,0.021949646008510692,1,100.0,0.04025534298188868,0.0,73.40128212472335,0.04025534298188868,14.0,0.7052401955168556,1.7889124374689782,-7.330759008404214e-05,-0.01847351270117862,-0.9542945045603941,0.3399345889783282,-0.005793078081571756,-1.2034177208671153,0.007009120244568567,-1.520283112126554,61
4,2021-03-31 00:00:00+00:00,2021-04-01 00:00:00+00:00,2021-06-30 00:00:00+00:00,-0.25074435716866406,-0.9992113667557367,1.4131731553349367,-2.1302492681660277,-1.4944181902900362,-0.7966673457589258,-1.2542391401819817,1,0.0,0.0,-0.9906197860438519,0.0,-0.9906197860438519,39.0,2.59537803971297,0.624692919280617,-0.00011939152865949703,-0.030086665222193252,-1.5813109682786344,0.11380695295682304,0.00047670960257320744,0.07084114526674205,1.604795122667202e-05,-2.146098234351559,63
5,2021-06-30 00:00:00+00:00,2021-07-01 00:00:00+00:00,2021-09-30 00:00:00+00:00,-0.11747786439625374,-0.46177155377805645,1.039704073998735,-2.3706528615042335,-2.368287009818334,-0.38031068739369817,-1.2141955750510631,1,0.0,0.0,-0.7246247267020023,0.0,-0.7246247267020023,40.0,1.3029337831996768,0.21910421204147318,-9.754033844404784e-05,-0.024580165287900056,-1.875475547188191,0.060727330451111075,-0.0011763301386268112,-0.17644623407430113,0.0001516330874034022,-2.383005277417532,64
6,2021-09-30 00:00:00+00:00,2021-10-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,64
7,2021-12-31 00:00:00+00:00,2022-01-03 00:00:00+00:00,2022-03-31 00:00:00+00:00,1.5845455001139763,6.598491875718859,1.4529126654466729,3.1013793687385895,92.81456196771009,-0.008553166859635988,771.4676895710278,1,100.0,6.522721575971668,0.0,15869.820961463201,6.522721575971668,13.0,0.0,6.522721575971668,0.00016193289579849622,0.04080708974122105,1.032420812568874,0.30187502621425166,-0.016732539564873614,-1.3860657328243506,0.055495250229830484,2.911698883447298,62
8,2022-03-31 00:00:00+00:00,2022-04-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,0.1528865196742446,0.6228669817323951,1.359236954201126,-1.0002945122914848,-1.061467182750512,-0.49735500985803593,1.2523589174464835,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.464110363233778e-05,-0.02132955811534912,-1.098603274386674,0.2719411488601414,-0.010500412203281729,-1.472479669945393,0.045032949869415306,-1.6189011583819048,62
9,2022-06-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-09-30 00:00:00+00:00,-0.14694289917297487,-0.5773401284417723,0.9764143312281691,-2.645831425519467,-2.280360576502418,-0.38886983960358357,-1.4846616261891552,1,0.0,0.0,-0.567522423904079,0.0,-0.567522423904079,37.0,0.9197371998028437,0.6381849805378262,-0.00010272582479146789,-0.02588690784744991,-2.3653797171969067,0.01801159305913571,-0.0007015511272801178,-0.25769753836219345,0.00023198888866560186,-2.6724606511167512,64
10,2022-09-30 00:00:00+00:00,2022-10-03 00:00:00+00:00,2022-12-30 00:00:00+00:00,-0.7616716039996363,-3.0120542130639416,0.6727866550779439,-7.588170488776211,-5.134648042633969,-0.7616716039996585,-3.954531319333906,1,0.0,0.0,-3.141704801003726,0.0,-3.141704801003726,19.0,3.141704801003726,0.0,-0.00020067994951404518,-0.05057134727753938,-2.7117424030509003,0.006693058364762791,4.203421449223337e-05,0.01555999004413105,2.791226881959652e-06,-7.5720071931246595,63
11,2022-12-30 00:00:00+00:00,2023-01-03 00:00:00+00:00,2023-03-31 00:00:00+00:00,0.16817692244279758,0.6853213165123995,1.2896466776655098,-1.0061038288287927,-1.0853887556193158,-0.4019458977572813,1.7050088589938466,1,100.0,0.7180939671645923,0.0,1705.866233281019,0.7180939671645923,7.0,0.0,2.385496714493,-6.780946619871144e-05,-0.017087985482075282,-1.210559221319381,0.22606438090521352,0.01502568136455163,1.032489001351528,0.03415485154573239,-1.3592306995508512,62
12,2023-03-31 00:00:00+00:00,2023-04-03 00:00:00+00:00,2023-06-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62
13,2023-06-30 00:00:00+00:00,2023-07-03 00:00:00+00:00,2023-09-29 00:00:00+00:00,0.32658681821011726,1.3127607545691422,1.6193686550207025,-0.40855543005661527,-0.4062027627258015,-0.5387719843858465,2.4365794670366463,1,100.0,0.8624702217335504,0.0,2129.871701484325,0.8624702217335504,30.0,1.7227231079347574,2.922594832325447,-2.8885699423229608e-05,-0.007279196254653861,-0.21817455113153,0.8272931127249805,-0.0028964321939146417,-0.21528125243205606,0.0003958489248250263,-0.4531988106397658,63
14,2023-09-29 00:00:00+00:00,2023-10-02 00:00:00+00:00,2023-12-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,63
15,2023-12-29 00:00:00+00:00,2024-01-02 00:00:00+00:00,2024-03-28 00:00:00+00:00,-0.7247230425685203,-2.960142902324825,0.7252715631322433,-6.9658084992095075,-5.656336620418192,-0.7247230425685092,-4.084516054344992,1,0.0,0.0,-3.009477886475909,0.0,-3.009477886475909,32.0,3.009477886475909,0.0,-0.0001904024796709077,-0.04798142487706874,-3.3945429724617235,0.0006874325078278753,-0.005351649991435873,-1.1198417983879303,0.0057896397158949675,-6.686096237449117,61
16,2024-03-28 00:00:00+00:00,2024-04-01 00:00:00+00:00,2024-06-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,63
17,2024-06-28 00:00:00+00:00,2024-07-01 00:00:00+00:00,2024-09-30 00:00:00+00:00,0.7744876079734286,3.0844082327603273,1.0568044704679895,1.033102350143658,1.0964709688273342,-0.21836545279454614,14.124982653104745,1,100.0,3.1180308064029014,0.0,7769.876079734224,3.1180308064029014,35.0,0.0,3.1180308064029014,3.7535299482597927e-05,0.009458895469614677,0.49174532373255714,0.6228993931626532,0.005123699668693152,0.4560265705733915,0.005750015265841513,0.9044873360325896,64
