quarter,train_end,eval_start,eval_end,half_life,use_hawkes_regimes,hawkes_lambda_bar,hawkes_alpha,hawkes_beta,hawkes_beta_H,mrjd_kappa,mrjd_theta,mrjd_sigma,mrjd_jump_mean,mrjd_jump_std,lambda_p25,lambda_p50,lambda_p75,lambda_p90,lambda_p95
1,2020-06-30 00:00:00+00:00,2020-07-01 00:00:00+00:00,2020-09-30 00:00:00+00:00,58.68651764970267,True,0.008782148630957668,0.1498782256028656,0.17646544139139292,0.17646544139139292,0.011824437074833492,2.1337197386935984,4.420837962171711,0.03831066164888336,0.3778077460738368,0.008782148630957668,0.00882690319896006,0.03956768329508284,0.41268861787421424,0.5196181705433269
2,2020-09-30 00:00:00+00:00,2020-10-01 00:00:00+00:00,2020-12-31 00:00:00+00:00,57.5960396697552,True,0.009017269697005783,0.16382815996005237,0.19427800736326953,0.19427800736326953,0.012046213863031691,2.2379586824249045,4.2521359188925905,0.039195534333116615,0.38027264181574366,0.009017269703772193,0.009019812428710718,0.022188267429597282,0.3489871775200797,0.50162739708884
3,2020-12-31 00:00:00+00:00,2021-01-04 00:00:00+00:00,2021-03-31 00:00:00+00:00,57.070378448812306,True,0.00666762176309158,0.17555649185656655,0.20675262366615896,0.20675262366615896,0.012157011852860807,2.164593033676388,3.9953740835666527,0.03081626589469727,0.3758326190729804,0.006667621763091585,0.006667756990501044,0.010309566166730628,0.3102894076424308,0.4958162242140692
4,2021-03-31 00:00:00+00:00,2021-04-01 00:00:00+00:00,2021-06-30 00:00:00+00:00,58.165855637329535,True,0.006843491498455749,0.17478959670016553,0.20592859091435547,0.20592859091435547,0.011929140436764027,2.0502903552764757,3.8586027418244706,0.03081626589469727,0.3758326190729804,0.006843491498455749,0.0068435040659764025,0.008663566036873344,0.2648871414922347,0.4865859639468466
5,2021-06-30 00:00:00+00:00,2021-07-01 00:00:00+00:00,2021-09-30 00:00:00+00:00,57.34551908569919,True,0.006212024033567744,0.16885252450062307,0.19869677198522356,0.19869677198522356,0.01209940221043425,2.0793915868226045,3.8045821444730863,0.03507119025920537,0.41766854575434986,0.006212024033567744,0.006212024904073498,0.007082478527598518,0.1127352376012003,0.39555849932760545
6,2021-09-30 00:00:00+00:00,2021-10-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,62.158583228837315,True,0.00740371104985487,0.14825866343754152,0.17612805465558187,0.17612805465558187,0.011163493843702557,1.8894521474468378,3.683405840583519,0.01841691518347852,0.4215976150683202,0.00740371104985487,0.007403711824978094,0.008473405389782487,0.08069532944587582,0.3406262155749248
7,2021-12-31 00:00:00+00:00,2022-01-03 00:00:00+00:00,2022-03-31 00:00:00+00:00,55.69148215488109,True,0.00759350810454056,0.16292985746887653,0.19190776518527244,0.19190776518527244,0.012458618613397237,1.9888739343808435,3.701992647313759,0.025564973875444076,0.3814773658296969,0.00759350810454056,0.0075935116085636255,0.010615403080038032,0.1420730416800772,0.4402108688679141
8,2022-03-31 00:00:00+00:00,2022-04-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,56.70688271672249,True,0.006154134049155112,0.15458105200086242,0.1820330020857375,0.1820330020857375,0.012233793117895537,2.117666041458571,3.6875151501048546,0.030511750235488317,0.3853305498999692,0.006154134049155112,0.006154135988079463,0.007104113620408925,0.11399732838557572,0.4268536780303862
9,2022-06-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-09-30 00:00:00+00:00,55.0914124342973,True,0.006756454589385803,0.1763582554435277,0.21681651309698166,0.21681651309698166,0.012592733088077866,2.0005885107860735,3.5808868002602257,0.031996454146918735,0.43295289901963047,0.006756454589385803,0.006756454594400524,0.006914747374325003,0.049821275494103076,0.20596105004143317
10,2022-09-30 00:00:00+00:00,2022-10-03 00:00:00+00:00,2022-12-30 00:00:00+00:00,58.9579564126326,True,0.006282817471849775,0.17470158576479017,0.21410292420828006,0.21410292420828006,0.011768183665546637,1.8451782980409523,3.509671476619433,0.031996454146918735,0.43295289901963047,0.006282817471849775,0.006282817472329316,0.006361319880020873,0.04484436535196774,0.17855409340338452
