quarter,entry_date,exit_date,direction,entry_z,exit_z,entry_lambda,exit_lambda,entry_regime,exit_regime,position_size,pnl,return_pct,duration_days,exit_reason,mae_pct,mfe_pct
2,2020-10-12 00:00:00+00:00,2020-11-20 00:00:00+00:00,SHORT,1.7368098340941032,-0.6583196273343223,0.009017269697194496,0.00901726969700588,calm,calm,0.0,10481.077124946161,4.20326344192221,39,signal,-0.05294814388866271,4.985468082105496
3,2021-01-05 00:00:00+00:00,2021-01-19 00:00:00+00:00,LONG,-2.5196949473207004,-2.389757544049474,0.00666762176309158,0.00666762176309158,calm,calm,0.25,73.40128212472335,0.04025534298188868,14,trailing_stop,-0.7052401955168556,1.7889124374689782
4,2021-04-05 00:00:00+00:00,2021-05-14 00:00:00+00:00,SHORT,2.0170090451401665,-0.8177064276803612,0.006843491498455749,0.006843491498455749,normal,normal,0.0,-2482.665212249923,-0.9906197860438519,39,signal,-2.59537803971297,0.624692919280617
5,2021-07-22 00:00:00+00:00,2021-08-31 00:00:00+00:00,SHORT,2.5067969187631407,-1.9670066895391365,0.006212024033567744,0.006212024033567744,normal,normal,0.0,-1839.062722152982,-0.7246247267020023,40,signal,-1.3029337831996768,0.21910421204147318
7,2022-01-14 00:00:00+00:00,2022-01-27 00:00:00+00:00,SHORT,2.0222059947112334,-0.878539912937647,0.007685618233256106,0.007601108376000001,normal,normal,0.24365960323513336,15869.820961463201,6.522721575971668,13,profit_target,0.0,6.522721575971668
9,2022-07-25 00:00:00+00:00,2022-08-31 00:00:00+00:00,LONG,-2.6985727680025406,1.285362106688654,0.006756454589385803,0.006756454589385803,normal,normal,0.0,-1444.4289917297958,-0.567522423904079,37,signal,-0.9197371998028437,0.6381849805378262
10,2022-10-21 00:00:00+00:00,2022-11-09 00:00:00+00:00,SHORT,2.125252754647574,-2.058624821784011,0.006282817471849775,0.006282817471849775,normal,normal,0.24084378705442316,-7592.631661290868,-3.141704801003726,19,stop_loss,-3.141704801003726,0.0
11,2023-01-19 00:00:00+00:00,2023-01-26 00:00:00+00:00,SHORT,2.140693446678522,2.437171971967684,0.005793870728934896,0.005793870728934896,normal,normal,0.24097008852973528,1705.866233281019,0.7180939671645923,7,trailing_stop,0.0,2.385496714493
13,2023-07-11 00:00:00+00:00,2023-08-10 00:00:00+00:00,LONG,-2.4975230155928227,-1.1014811046397321,0.007236489825354913,0.5657465925855281,normal,crisis,0.25,2129.871701484325,0.8624702217335504,30,trailing_stop,-1.7227231079347574,2.922594832325447
15,2024-01-26 00:00:00+00:00,2024-02-27 00:00:00+00:00,SHORT,2.010442962807815,1.2764376468723322,0.0073872703394386565,0.0073872703366115655,normal,normal,0.23921996179209187,-7223.308429506017,-3.009477886475909,32,stop_loss,-3.009477886475909,0.0
17,2024-08-09 00:00:00+00:00,2024-09-13 00:00:00+00:00,SHORT,2.296404905045865,-0.2271591834808048,0.0065586688709687565,0.0065586688709687565,normal,normal,0.0,7769.876079734224,3.1180308064029014,35,signal,0.0,3.1180308064029014
20,2025-06-09 00:00:00+00:00,2025-06-26 00:00:00+00:00,SHORT,2.024498247649948,-4.016731743462982,0.005421400587166541,0.005421400587166541,normal,normal,0.22561668773906995,-6860.3721257193765,-3.0298096109550645,17,stop_loss,-3.0298096109550645,0.0
21,2025-07-02 00:00:00+00:00,2025-08-08 00:00:00+00:00,LONG,-3.8676234576455704,2.14069505065015,0.00515937158481928,0.13809680451602063,normal,crisis,0.0,738.7990643200421,0.3055865531062258,37,signal,-0.8547108983481008,1.4529760969811767
22,2025-10-24 00:00:00+00:00,2025-11-28 00:00:00+00:00,SHORT,2.694295924221459,-1.4205691924228008,0.0315704851515219,0.005772416143207539,elevated,elevated,0.0,-952.7350775886173,-0.9068039377148575,35,signal,-1.569863036201581,0.36864332377045556
