quarter,train_end,eval_start,eval_end,total_return_pct,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,total_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,expected_value_per_trade,avg_trade_duration_days,avg_max_adverse_excursion_pct,avg_max_favorable_excursion_pct,alpha_daily,alpha_annualized,alpha_tstat,alpha_pvalue,beta,beta_tstat,r_squared,information_ratio,n_observations
1,2020-06-30 00:00:00+00:00,2020-07-01 00:00:00+00:00,2020-09-30 00:00:00+00:00,-0.0018902296441303257,-0.007442572594285046,0.1436696860949785,-13.972730350704508,-13.210306646031615,-0.07358969430284056,-0.10113607163058651,1,100.0,0.039235009647418974,0.0,64.88580199976379,0.039235009647418974,18.0,0.005070807212592055,0.16760065504971106,-7.914082615316757e-05,-0.019943488190598227,-10.395271200107402,2.605446958102923e-25,-0.00038574536529336007,-0.3079546232711685,0.0023815590924191055,-14.007912466512904,64
2,2020-09-30 00:00:00+00:00,2020-10-01 00:00:00+00:00,2020-12-31 00:00:00+00:00,-0.03941453678781848,-0.15510491907871904,0.08743511162025376,-24.677162984407055,-15.26749248286273,-0.04422446325553432,-3.507219933512906,1,0.0,0.0,-0.270525446511968,0.0,-0.270525446511968,36.0,0.2778574314914731,0.045524077017592056,-8.657656779698447e-05,-0.021817295084840087,-13.6389746792078,2.3483914509832137e-42,0.000637482952705529,1.4790762896340743,0.012096400559063247,-25.300767631014143,64
3,2020-12-31 00:00:00+00:00,2021-01-04 00:00:00+00:00,2021-03-31 00:00:00+00:00,0.0017322002458186603,0.007156168850364075,0.07532560231888745,-26.454437667330538,-24.94492826228913,-0.022930429316325718,0.3120817648742894,1,100.0,0.026954295154905526,0.0,42.32200245812918,0.026954295154905526,25.0,0.08172171726524084,0.02711927622394178,-8.002792866568588e-05,-0.02016703802375284,-22.621395119782658,2.669055645396108e-113,0.001020869023621493,1.2872090087014585,0.05799394553583859,-27.813895365509936,61
4,2021-03-31 00:00:00+00:00,2021-04-01 00:00:00+00:00,2021-06-30 00:00:00+00:00,-0.024055112044840676,-0.09618573484188042,0.06038426894933063,-34.740268739469265,-34.147752957198634,-0.03800750317869442,-2.53070385575337,1,0.0,0.0,-0.09364356746218297,0.0,-0.09364356746218297,29.0,0.09364356746218297,0.12269596696340311,-8.363481099583216e-05,-0.021075972370949703,-21.02030447379036,4.276813805383848e-98,0.0003796458517388123,0.4672197858217071,0.005573840378582884,-35.278987815947545,63
5,2021-06-30 00:00:00+00:00,2021-07-01 00:00:00+00:00,2021-09-30 00:00:00+00:00,0.013886424550224596,0.054688949578429735,0.053416183454955884,-36.401773874461384,-44.134226897486585,-0.009951020669884302,5.49581308216352,1,100.0,0.022430224282662076,0.0,9.883249542977346,0.022430224282662076,21.0,0.011818799655630199,0.05588280627574341,-7.720310812241513e-05,-0.019455183246848612,-31.055863777344353,9.507577146314993e-212,-0.00048445576593938614,-0.9189631148489974,0.009743025134938743,-36.88872665632045,64
6,2021-09-30 00:00:00+00:00,2021-10-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,-0.0008000000000008001,-0.003149962987691879,0.0015872507928380694,-1262.05638645056,0.0,-0.0008000000000008001,-3.937453734610911,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.949987645566135e-05,-0.02003396886682666,-594.5154128952266,0.0,6.438932264072575e-06,0.899776146190786,0.0031803555857233823,-1274.025563808425,64
7,2021-12-31 00:00:00+00:00,2022-01-03 00:00:00+00:00,2022-03-31 00:00:00+00:00,0.014607815012546155,0.05938699064540476,0.0427418763062497,-45.38051039665939,-45.137933661207775,-0.009883834328233695,6.008497175611562,1,100.0,0.11005934319808662,0.0,162.1775183351452,0.11005934319808662,16.0,0.015461909115293746,0.11005934319808662,-7.731150647658365e-05,-0.01948249963209908,-42.149761174559124,0.0,-0.00039839849319902356,-1.2263198937277833,0.03639493256949411,-46.810661139314604,62
8,2022-03-31 00:00:00+00:00,2022-04-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,0.014373843876658299,0.05843558882163702,0.06747315971471851,-28.761080330147507,-32.89319028393643,-0.016689531064538275,3.5013319784520665,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.647352692270863e-05,-0.019271328784522576,-15.553620879201281,1.503592383728098e-54,0.0001985351891591754,0.8525016726790328,0.006532893317795496,-28.888435519461844,62
9,2022-06-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-09-30 00:00:00+00:00,0.06458493305332436,0.2545445042862582,0.15432043165888304,-11.285759721313651,-35.57132211866868,-0.023240030411222433,10.952847297624043,1,100.0,0.03500726462586426,0.0,61.24609163587101,0.03500726462586426,14.0,0.0,0.0606858018355204,-6.937953790466328e-05,-0.017483643551975146,-7.3993281427188276,1.368752371506056e-13,-0.00013192249099892487,-0.46334292914346276,0.0003283536011007282,-11.419886823630645,64
10,2022-09-30 00:00:00+00:00,2022-10-03 00:00:00+00:00,2022-12-30 00:00:00+00:00,-0.002097357255737009,-0.008389165092193007,0.09394793276209314,-21.378657735995844,-17.06997698749317,-0.03256799646010613,-0.2575892288145277,1,0.0,0.0,-0.0005257409333221403,0.0,-0.0005257409333221403,14.0,0.04987789700656908,0.08041702224706893,-7.984978129543052e-05,-0.020122144886448493,-24.522742926580367,8.451202148912531e-133,0.00013504410837730303,0.6678240341943891,0.0014794590726358026,-21.60642230701007,63
