quarter,train_end,eval_start,eval_end,half_life,use_hawkes_regimes,hawkes_lambda_bar,hawkes_alpha,hawkes_beta,hawkes_beta_H,mrjd_kappa,mrjd_theta,mrjd_sigma,mrjd_jump_mean,mrjd_jump_std,lambda_p25,lambda_p50,lambda_p75,lambda_p90,lambda_p95
1,2020-06-30 00:00:00+00:00,2020-07-01 00:00:00+00:00,2020-09-30 00:00:00+00:00,22.102059677298186,True,0.04007590312660882,0.1739714115078745,0.21167046151298902,0.21167046151298902,0.03137102626242322,0.037975138706145384,0.8430128990517062,-0.0036440248994240535,0.04569823565464395,0.042033645938188854,0.08579724403571538,0.4154560251777652,0.5609094175715428,0.6085559925031993
2,2020-09-30 00:00:00+00:00,2020-10-01 00:00:00+00:00,2020-12-31 00:00:00+00:00,23.046826395912262,True,0.040852691342304216,0.18005284965990595,0.22254225835030342,0.22254225835030342,0.03008239571034669,0.02961585473513683,0.8174514921816946,-0.005053199697345876,0.04462888991884266,0.042291158170878716,0.07811270506936459,0.3927678269004784,0.5483870941182961,0.5963009505165713
3,2020-12-31 00:00:00+00:00,2021-01-04 00:00:00+00:00,2021-03-31 00:00:00+00:00,22.768731868549043,True,0.039655144067352675,0.18423886698080089,0.22615531080145923,0.22615531080145923,0.03044830908599507,0.021821544975951398,0.7923602636938388,-0.0036971411228816087,0.04252324985553992,0.0411960491692808,0.07581735510355771,0.39745580620855264,0.5520509125694815,0.600838252189107
4,2021-03-31 00:00:00+00:00,2021-04-01 00:00:00+00:00,2021-06-30 00:00:00+00:00,22.54425046925999,True,0.033867377746065484,0.1878692820070491,0.22490764492878862,0.22490764492878862,0.030751861224639222,0.0284713099517717,0.7652440411710429,-0.004092732463903698,0.04183717030635102,0.03421339213366826,0.05722723674491344,0.336522479201508,0.5538475681933538,0.6032214152166663
5,2021-06-30 00:00:00+00:00,2021-07-01 00:00:00+00:00,2021-09-30 00:00:00+00:00,23.299241206909638,True,0.0352654494083534,0.18987878597398153,0.2311341770946898,0.2311341770946898,0.029753700888663664,0.030354183964651116,0.7710357683392273,-0.0043852572743205915,0.041172291456372065,0.03566171925141886,0.05382713124287972,0.27146165116681936,0.5393462358252828,0.5914253079446756
6,2021-09-30 00:00:00+00:00,2021-10-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,23.24313953980485,True,0.035685644395822703,0.189126530691714,0.23284855510615896,0.23284855510615896,0.029825126986924126,0.023671584362714007,0.7845400388836019,-0.004245495977386894,0.04116430508924683,0.036150445359934606,0.05644985712497144,0.3042913041436383,0.539506901764685,0.5870415726494406
7,2021-12-31 00:00:00+00:00,2022-01-03 00:00:00+00:00,2022-03-31 00:00:00+00:00,22.539985348792317,True,0.037713949989625885,0.1886658099571048,0.2289934554289399,0.2289934554289399,0.030756277593847425,0.029053519060821122,0.7637162911020942,-0.003303229178680454,0.03936919735285299,0.03855855149175125,0.06652487020664427,0.33984970439597956,0.5519345031849052,0.6027354325314891
8,2022-03-31 00:00:00+00:00,2022-04-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,22.11071617126985,True,0.03522408649278075,0.20119178005003474,0.24172729588541333,0.24172729588541333,0.03135338233822087,0.028271850845646648,0.7488628094104852,-0.0026393143144535333,0.038805023371164316,0.03560744169263677,0.05432522149344261,0.3253034086608608,0.5558343978271066,0.6095363578862423
9,2022-06-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-09-30 00:00:00+00:00,21.97939249231036,True,0.036102457806573666,0.19644182891491407,0.23638956629520746,0.23638956629520746,0.0315409267626197,0.03158206179239244,0.743427941665576,-0.0018815546296727008,0.03687392713298291,0.03677758528229987,0.06574752197368311,0.41041268117596713,0.5708304950337246,0.6207967501139809
10,2022-09-30 00:00:00+00:00,2022-10-03 00:00:00+00:00,2022-12-30 00:00:00+00:00,21.668828970023036,True,0.03354396586167454,0.19839086390634358,0.2381027495852285,0.2381027495852285,0.03199294419920503,0.029217187867718306,0.724727727627557,-0.0017602854127537577,0.036881455539567766,0.033950359810714766,0.05366143619467123,0.3734515057447885,0.5618163445004168,0.6167752517183139
11,2022-12-30 00:00:00+00:00,2023-01-03 00:00:00+00:00,2023-03-31 00:00:00+00:00,21.502762384121343,True,0.031313518497298416,0.19703743863520423,0.235613220167651,0.235613220167651,0.0322400244853126,0.029210383236769746,0.7028537613733816,-0.00171010125999941,0.03686217724420914,0.03153170756858746,0.045846471352883784,0.31149539620019845,0.5559281222034587,0.6098219755882135
12,2023-03-31 00:00:00+00:00,2023-04-03 00:00:00+00:00,2023-06-30 00:00:00+00:00,22.107851665153863,True,0.03172123423823021,0.19834447848653297,0.23507465091832033,0.23507465091832033,0.03135688973355806,0.02842231203599806,0.6898445705632864,-0.0021815228701595386,0.03603210928791821,0.03197929962894161,0.046663357175902094,0.31273917621834624,0.5615195016022528,0.6188482832228897
