quarter,entry_date,exit_date,direction,entry_z,exit_z,entry_lambda,exit_lambda,entry_regime,exit_regime,position_size,pnl,return_pct,duration_days,exit_reason,mae_pct,mfe_pct
1,2020-07-24 00:00:00+00:00,2020-08-11 00:00:00+00:00,SHORT,2.039055564928811,0.20588896321141828,0.09825098352883813,0.10173708745593874,normal,normal,0.0,64.88580199976379,0.039235009647418974,18,signal,-0.005070807212592055,0.16760065504971106
2,2020-11-10 00:00:00+00:00,2020-12-16 00:00:00+00:00,SHORT,2.0317325516057467,0.3354585809071928,0.38383817330445125,0.21773826698362453,normal,normal,0.0,-380.59947175071824,-0.270525446511968,36,signal,-0.2778574314914731,0.045524077017592056
3,2021-01-08 00:00:00+00:00,2021-02-02 00:00:00+00:00,SHORT,2.152521649277068,0.02106080339453649,0.04062513331421417,0.03965854279865527,calm,calm,0.0,42.32200245812918,0.026954295154905526,25,signal,-0.08172171726524084,0.02711927622394178
4,2021-05-13 00:00:00+00:00,2021-06-11 00:00:00+00:00,SHORT,1.479278342899606,0.41619424059213395,0.26039576938042697,0.2496946606013571,normal,normal,0.0,-105.58360217905738,-0.09364356746218297,29,signal,-0.09364356746218297,0.12269596696340311
5,2021-07-09 00:00:00+00:00,2021-07-30 00:00:00+00:00,SHORT,1.9966410626168472,0.2374579977899507,0.5989231057044736,0.19270621587250897,crisis,normal,0.0,9.883249542977346,0.022430224282662076,21,signal,-0.011818799655630199,0.05588280627574341
7,2022-01-05 00:00:00+00:00,2022-01-21 00:00:00+00:00,SHORT,2.1072875855715427,0.21225070166411442,0.32189791238449944,0.04499828749897495,normal,normal,0.0,162.1775183351452,0.11005934319808662,16,signal,-0.015461909115293746,0.11005934319808662
9,2022-07-25 00:00:00+00:00,2022-08-08 00:00:00+00:00,SHORT,2.604927316679775,-0.04754349058946255,0.03623158095833493,0.03610717546549656,calm,calm,0.0,61.24609163587101,0.03500726462586426,14,signal,0.0,0.0606858018355204
10,2022-10-24 00:00:00+00:00,2022-11-07 00:00:00+00:00,SHORT,1.8181613996487724,-0.5968804451109995,0.03354462195565866,0.033543989264705754,calm,calm,0.0,-26.386139610133252,-0.0005257409333221403,14,signal,-0.04987789700656908,0.08041702224706893
11,2023-01-20 00:00:00+00:00,2023-02-03 00:00:00+00:00,LONG,-1.687806706693661,0.8145374958612219,0.18753510360271072,0.04874211898253781,normal,normal,0.0,-144.33316031665146,-0.09991582438584269,14,signal,-0.1489282364967683,0.0
12,2023-05-05 00:00:00+00:00,2023-06-01 00:00:00+00:00,SHORT,2.1667852493078543,0.22674094364716474,0.0332154331014639,0.031723852026763186,normal,calm,0.0,-55.019690396377996,-0.011772546439271536,27,signal,-0.16022473764802245,0.0119167096291933
14,2023-10-16 00:00:00+00:00,2023-11-06 00:00:00+00:00,SHORT,1.8062948004497923,0.3510074308537673,0.5059466420061571,0.0939966681124619,elevated,normal,0.0,28.9570394446835,0.04617339875910397,21,signal,-0.17917337298284192,0.11009869376364476
15,2024-01-29 00:00:00+00:00,2024-02-20 00:00:00+00:00,LONG,-2.0625626890762203,-0.47661515188904574,0.053851181546269195,0.02609385026650116,normal,normal,0.0,-82.02442184350792,-0.023917803204619614,22,signal,-0.03193049656369524,0.015203714891467213
16,2024-04-16 00:00:00+00:00,2024-04-30 00:00:00+00:00,SHORT,1.4567031185158248,0.5920634727613235,0.17947522586813477,0.5441999738746484,normal,elevated,0.0,35.50491092513032,0.04096302004439811,14,signal,-0.06562006739135444,0.09199083976105528
17,2024-07-24 00:00:00+00:00,2024-08-15 00:00:00+00:00,SHORT,2.0814626671863126,0.49483555926251493,0.054850019814475244,0.027031971378296025,normal,normal,0.0,30.18073871547239,0.022619218653257583,22,signal,-0.13540111575113806,0.06992229641587308
18,2024-10-11 00:00:00+00:00,2024-11-06 00:00:00+00:00,LONG,-1.776065609942122,-0.07837693228029921,0.02622819753351358,0.18554835802581826,calm,normal,0.0,60.525383564363494,0.034419834130478374,26,signal,-0.08374251971042158,0.11405568866718199
21,2025-07-17 00:00:00+00:00,2025-08-04 00:00:00+00:00,SHORT,2.2674568455111133,-1.0749632192841423,0.024929997103682534,0.024002000611141598,normal,normal,0.0,77.22072793928724,0.04094185487621039,18,signal,0.0,0.0468034045564903
21,2025-08-08 00:00:00+00:00,2025-08-28 00:00:00+00:00,LONG,-2.2570863246165107,-0.06660827204871743,0.023994860102441666,0.023990600322644506,calm,calm,0.0,-49.56908526130404,-0.00966825394636042,20,signal,-0.05900002347521308,0.02501491041254158
22,2025-10-23 00:00:00+00:00,2025-11-06 00:00:00+00:00,SHORT,2.014941387240169,0.24787004189385645,0.3116073154428485,0.6221337350573717,elevated,crisis,0.0,-55.85632314701185,-0.05606696267255913,14,signal,-0.0635118018371067,0.02578313536877091
23,2026-01-07 00:00:00+00:00,2026-02-06 00:00:00+00:00,SHORT,2.5184211927679856,-0.23137144625425127,0.024677014292005344,0.18446405307932234,normal,elevated,0.0,-48.849319901922996,-0.009534157273560707,30,signal,-0.05287274767268182,0.06909684432495114
